match_id,compound_score,n_chat_messages,avg_mmr,match_id,label
7854,1.6055,9,2314.941218328233,7854,pos
7859,1.8238,8,3320.0739123743065,7859,pos
7864,2.9440999999999997,31,3410.783860830527,7864,pos
7866,5.2425,42,3529.8574236812324,7866,pos
7867,3.1761,38,3209.15147920508,7867,pos
7870,0.8761,13,3483.4183729878664,7870,pos
7872,3.6187,39,3578.2983481799197,7872,pos
7876,-2.557,32,3468.3211152314057,7876,neg
7877,2.6069999999999998,44,3456.830447604312,7877,pos
7878,2.5379,34,3630.405719287745,7878,pos
7880,0.3538,72,3167.8539882347586,7880,pos
7884,4.5347,25,3623.7797083467754,7884,pos
7922,2.2733,9,2096.556517636017,7922,pos
10208,2.368,8,3033.608413007288,10208,pos
10217,1.9259,39,2805.996254278777,10217,pos
10227,1.9886,7,3349.9388631590514,10227,pos
10244,-0.8066,19,3238.836583114042,10244,neg
10248,-1.4304,19,3173.4446310776257,10248,neg
10260,2.0884,7,3647.6657786350816,10260,pos
10261,1.3643,23,3319.038852401335,10261,pos
10265,-0.0772,17,3201.924634773284,10265,neg
10267,-0.646,17,2805.350154499188,10267,neg
10271,1.5272,28,3205.711801058608,10271,pos
10275,1.8556,10,3224.045684578903,10275,pos
10277,3.7549,19,3401.725059612258,10277,pos
10280,0.296,4,3362.2626632254755,10280,pos
10283,1.5994,17,3451.4605074850315,10283,pos
10286,0.5492000000000001,30,3459.063278130724,10286,pos
10290,3.4858000000000002,113,3265.575652162064,10290,pos
10292,0.7570000000000001,37,3011.72953897888,10292,pos
10299,-0.2277,9,3464.711437233116,10299,neg
10300,6.4071,48,3450.612844174313,10300,pos
10302,2.0881,11,3159.3529808011463,10302,pos
10304,2.9613,17,2927.4647213369026,10304,pos
10305,3.4421,28,3162.429943075091,10305,pos
10306,4.7931,23,3551.762400006668,10306,pos
10307,0.3821,31,3635.050588961202,10307,pos
10308,5.4716,36,3596.784399172186,10308,pos
10310,-1.9943,38,3327.534049932817,10310,neg
10317,0.5176,12,2960.5399485694466,10317,pos
10322,0.24439999999999998,11,3365.3009023496725,10322,pos
10324,-0.4453,2,3153.4634575957352,10324,neg
